publication_type,field,section,criterion_text,entry_guidance,inferred_type,accepted
Observ Cohort & Cross sect,ID,Study Details,,Study ID,integer_or_string_id,
Observ Cohort & Cross sect,extractor,Study Details,,Initials of extractor,string,
Observ Cohort & Cross sect,first_author,Study Details,,First author's last name,string,
Observ Cohort & Cross sect,pub_year,Study Details,,Publication Year,integer,4-digit year
Observ Cohort & Cross sect,objective_stated,Risk of Bias Assessment,Was the study question or objective clearly stated?,1. Was the study question or objective clearly stated? 0 = no 1 = yes NA = not available / not applicable,binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,criteria_stated,Risk of Bias Assessment,Were eligibility/selection criteria for the study population prespecified and clearly described?,2. Were eligibility/selection criteria for the study population prespecified and clearly described? 0 = no 1 = yes NA = not available / not applicable,binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,participation_50,Risk of Bias Assessment,Was the participation rate of eligible persons at least 50%?,3. Was the participation rate of eligible persons at least 50%? 0 = no 1 = yes NA = not available / not applicable,binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,same_population,Risk of Bias Assessment,1. Were all the subjects selected or recruited from the same or similar populations (including the same time period)?,4.1. Were all the subjects selected or recruited from the same or similar populations (including the same time period)? 0 = no 1 = yes NA = not available / not applicable,binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,criteria_specified,Risk of Bias Assessment,2. Were inclusion and exclusion criteria for being in the study prespecified and applied uniformly to all participants?,4.2. Were inclusion and exclusion criteria for being in the study prespecified and applied uniformly to all participants? 0 = no 1 = yes NA = not available / not applicable,binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,samplesize_estimate,Risk of Bias Assessment,"Was a sample size justification, power description, or variance and effect estimates provided?","5. Was a sample size justification, power description, or variance and effect estimates provided? 0 = no 1 = yes NA = not available / not applicable",binary_ordinal,0; 1; NA
Observ Cohort & Cross sect,exposures_measured_prior,Risk of Bias Assessment,"For the analyses in this paper, were the exposure(s) of interest measured prior to the outcome(s) being measured?","6. For the analyses in this paper, were the exposure(s) of interest measured prior to the outcome(s) being measured? 0 = no 1 = yes NA = not available / not applicable",binary_ordinal,0; 1; NA
